seed,dataset,lambda_mmd,in_processing,acc,disparity,time
2,COMPAS,1.2,True,0.6638257575757576,0.0222325663873741,150.24861499999952
2,COMPAS,1.3,True,0.6761363636363636,0.0011083034091412,157.76682900000014
2,COMPAS,1.4,True,0.6723484848484849,0.0155605798643436,156.71612599999935
2,COMPAS,1.5,True,0.6685606060606061,0.0088220951367646,149.53921999999875
2,COMPAS,1.6,True,0.665719696969697,0.017666356341712,149.86837699999978
2,COMPAS,1.7,True,0.6732954545454546,0.0099525646140887,151.50219799999925
2,COMPAS,1.8,True,0.6685606060606061,0.013476969455158,145.48163399999976
2,COMPAS,1.9,True,0.6695075757575758,0.0076472935230748,147.12381099999948
2,COMPAS,2.0,True,0.6695075757575758,0.0184200026599282,142.8534320000008
2,COMPAS,2.1,True,0.6638257575757576,0.0287050582967593,147.9177579999996
2,COMPAS,2.2,True,0.6742424242424242,0.0388792835926763,146.4988140000005
2,COMPAS,2.3,True,0.6742424242424242,0.0059405062729973,142.84105700000055
2,COMPAS,2.4,True,0.6714015151515151,0.0189963204326816,149.8320360000007
2,COMPAS,2.5,True,0.6723484848484849,0.0258456355011748,149.30757300000096
2,COMPAS,2.6,True,0.6666666666666666,0.015383251318881,149.93944600000032
2,COMPAS,2.7,True,0.6666666666666666,0.0206144434100279,149.58406699999978
2,COMPAS,2.8,True,0.6685606060606061,0.0297468635013521,150.17309100000057
2,COMPAS,2.9,True,0.6770833333333334,0.0164250565234738,151.71273500000098
2,COMPAS,3.0,True,0.6666666666666666,0.0121470053641885,148.88581800000065
2,COMPAS,3.1,True,0.6723484848484849,0.0198607970918118,147.6399109999984
2,COMPAS,3.2,True,0.6628787878787878,0.0259342997739061,149.84596799999963
2,COMPAS,3.3,True,0.6714015151515151,0.0137651283415347,150.49315399999978
2,COMPAS,3.4,True,0.6742424242424242,0.0206144434100279,165.38434000000052
2,COMPAS,3.5,True,0.6770833333333334,0.0248924945693133,158.70689500000117
2,COMPAS,3.6,True,0.6666666666666666,0.015383251318881,157.1746750000002
2,COMPAS,3.7,True,0.6723484848484849,0.0304118455468369,161.33633700000064
2,COMPAS,3.8,True,0.6714015151515151,0.0340249146606375,156.90130300000055
2,COMPAS,3.9,True,0.6714015151515151,0.0340249146606375,150.9697550000019
2,COMPAS,4.0,True,0.6723484848484849,0.0284168994103826,153.04453300000023
2,COMPAS,4.1,True,0.6704545454545454,0.0245156714102052,152.26658700000007
2,COMPAS,4.2,True,0.6676136363636364,0.0184200026599282,153.39695500000016
2,COMPAS,4.3,True,0.6704545454545454,0.0147182692733963,152.059385999999
2,COMPAS,4.4,True,0.6732954545454546,0.0222325663873741,154.54156200000216
2,COMPAS,4.5,True,0.665719696969697,0.0340249146606375,155.6682129999972
2,COMPAS,4.6,True,0.6704545454545454,0.0173781974553353,155.78521399999954
2,COMPAS,4.7,True,0.6638257575757576,0.0242275125238284,161.64194099999986
2,COMPAS,4.8,True,0.6714015151515151,0.0261337943875515,150.42615999999907
2,COMPAS,4.9,True,0.6676136363636364,0.0203262845236512,149.08193599999868
3,COMPAS,0.0,True,0.6846590909090909,0.2256962267190702,154.206969
3,COMPAS,0.1,True,0.6704545454545454,0.0902949760774513,158.503916
3,COMPAS,0.2,True,0.6704545454545454,0.0435064424154093,152.28864199999998
