Unnamed: 0,seed,dataset,lambda,acc,disparity,time
0,10,COMPAS,0.65,0.6553030303030303,0.0518052721442552,90.35301800000002
0,10,COMPAS,0.75,0.646780303030303,0.0253612626493982,98.47822800000016
0,10,COMPAS,0.8500000000000001,0.6515151515151515,0.0001665764377629,95.61849599999982
0,10,COMPAS,0.95,0.6571969696969697,0.0010827468454586,93.08862700000007
0,11,COMPAS,0.05,0.6477272727272727,0.3011337408946082,78.093394
0,11,COMPAS,0.15,0.6496212121212122,0.2654665000394051,90.910053
0,11,COMPAS,0.25,0.6524621212121212,0.2029925355490255,91.27357899999998
0,11,COMPAS,0.35,0.6496212121212122,0.1665934857747604,89.94122100000004
0,11,COMPAS,0.45,0.6297348484848485,0.1060109658751872,91.461497
0,11,COMPAS,0.55,0.6382575757575758,0.1090395289402281,91.4432700000001
0,11,COMPAS,0.65,0.6325757575757576,0.0493914727373031,91.20072899999968
0,11,COMPAS,0.75,0.6382575757575758,0.0491888179597167,97.10482600000024
0,11,COMPAS,0.8500000000000001,0.6297348484848485,0.0051339210321883,94.07900500000004
0,11,COMPAS,0.95,0.6240530303030303,0.0326724535864266,93.29602399999976
0,12,COMPAS,0.05,0.6875,0.2696440264301447,80.25055900000001
0,12,COMPAS,0.15,0.6732954545454546,0.1960533365081255,90.39752300000004
0,12,COMPAS,0.25,0.6770833333333334,0.1730162509673194,92.94519499999996
0,12,COMPAS,0.35,0.6628787878787878,0.0940085719388059,92.72809600000004
0,12,COMPAS,0.45,0.6638257575757576,0.0791416155723555,90.85867500000006
0,12,COMPAS,0.55,0.6647727272727273,0.0726680159533305,89.80039899999997
0,12,COMPAS,0.65,0.6609848484848485,0.0468629085064587,89.52450799999997
0,12,COMPAS,0.75,0.6609848484848485,0.0309393416274778,97.04262500000004
0,12,COMPAS,0.8500000000000001,0.6590909090909091,0.0076046193225787,93.6906019999999
0,12,COMPAS,0.95,0.6619318181818182,0.00258943984761,94.87251399999992
0,13,COMPAS,0.05,0.6647727272727273,0.2216630918990265,78.95548199999999
0,13,COMPAS,0.15,0.6704545454545454,0.1789308694934829,90.647357
0,13,COMPAS,0.25,0.6770833333333334,0.1395809272397293,91.313265
0,13,COMPAS,0.35,0.6761363636363636,0.1201946873453225,91.37218299999996
0,13,COMPAS,0.45,0.6600378787878788,0.0721003134796238,90.45820099999992
0,13,COMPAS,0.55,0.6695075757575758,0.0420722653027553,91.53872
